servicerequestnum,code,codeDescription,address,city,state,zip,createdDate,dueDate,statusDate,status,activity,outcome,updatedDate
13-00364693,RATRUBPR,SW-Rat Rubout - Proactive,2106  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364707,RATRUBPR,SW-Rat Rubout - Proactive,2114  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364268,RATRUBPR,SW-Rat Rubout - Proactive,252 N PAYSON ST ,BALTIMORE CITY,MD,21223,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/16/2013
13-00364296,RATRUBPR,SW-Rat Rubout - Proactive,1030  EDMONDSON AVE ,BALTIMORE CITY,MD,21223,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/16/2013
13-00364579,RATRUBPR,SW-Rat Rubout - Proactive,1811 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364606,RATRUBPR,SW-Rat Rubout - Proactive,1817 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364666,RATRUBPR,SW-Rat Rubout - Proactive,1819 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364695,RATRUBPR,SW-Rat Rubout - Proactive,2108  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364708,RATRUBPR,SW-Rat Rubout - Proactive,2116  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364284,RATRUBPR,SW-Rat Rubout - Proactive,3922  EDMONDSON AVE ,BALTIMORE CITY,MD,21229,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/16/2013
13-00364296,RATRUBPR,SW-Rat Rubout - Proactive,1030  EDMONDSON AVE ,BALTIMORE CITY,MD,21223,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/16/2013
13-00358494,HLTHRATR,SW-Rat Rubout,1319  PENTRIDGE RD ,BALTIMORE CITY,MD,21239,05/16/2013 04:27:43 AM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00358466,HLTHRATR,SW-Rat Rubout,1439  WASHINGTON BLVD ,BALTIMORE CITY,MD,21230,05/16/2013 04:12:48 AM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00358233,HLTHRATR,SW-Rat Rubout,500 E 27TH ST ,BALTIMORE CITY,MD,21218,05/16/2013 01:44:51 AM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00358191,HLTHRATR,SW-Rat Rubout,904  ANDOVER RD ,BALTIMORE CITY,MD,21218,05/16/2013 01:26:35 AM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00357508,HLTHRATR,SW-Rat Rubout,1452  COVINGTON ST ,BALTIMORE CITY,MD,21230,05/15/2013 09:56:24 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00357291,HLTHRATR,SW-Rat Rubout,932  NORTH HILL RD ,BALTIMORE CITY,MD,21218,05/15/2013 09:14:46 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00357217,HLTHRATR,SW-Rat Rubout,1033 W LEXINGTON ST ,BALTIMORE CITY,MD,21223,05/15/2013 09:04:55 PM +0000,05/29/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/17/2013
13-00356961,HCDRODEN,HCD-Rodents,3727  ELKADER RD ,BALTIMORE CITY,MD,21218,05/15/2013 08:21:32 PM +0000,05/30/2013,05/16/2013,DUPCLOSD,,,
13-00356959,HCDRODEN,HCD-Rodents,3725  ELKADER RD ,BALTIMORE CITY,MD,21218,05/15/2013 08:21:14 PM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Inspector,Citation Issued,05/16/2013
13-00356818,HCDRODEN,HCD-Rodents,2408  FREDERICK AVE ,BALTIMORE CITY,MD,21223,05/15/2013 07:52:53 PM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Inspector,No Cause For Action,05/16/2013
13-00356581,HLTHRATR,SW-Rat Rubout,1028  EDMONDSON AVE ,BALTIMORE CITY,MD,21223,05/15/2013 06:59:11 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00356285,HLTHRATR,SW-Rat Rubout,3920  EDMONDSON AVE ,BALTIMORE CITY,MD,21229,05/15/2013 05:42:59 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00356049,HLTHRATR,SW-Rat Rubout,118 S BROADWAY  ,BALTIMORE CITY,MD,21231,05/15/2013 05:00:33 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00355677,HLTHRATR,SW-Rat Rubout,1646  BURNWOOD RD ,BALTIMORE CITY,MD,21239,05/15/2013 04:01:43 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00355527,HLTHRATR,SW-Rat Rubout,929  NORTH HILL RD ,BALTIMORE CITY,MD,21218,05/15/2013 03:29:47 PM +0000,05/29/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00359791,RATRUBPR,SW-Rat Rubout - Proactive,3014  ELIZABETH AVE ,BALTIMORE CITY,MD,21230,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360388,RATRUBPR,SW-Rat Rubout - Proactive,2317 N ROSEDALE ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360302,RATRUBPR,SW-Rat Rubout - Proactive,2317 N LONGWOOD ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360392,RATRUBPR,SW-Rat Rubout - Proactive,2319 N ROSEDALE ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360296,RATRUBPR,SW-Rat Rubout - Proactive,2301 N LONGWOOD ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360388,RATRUBPR,SW-Rat Rubout - Proactive,2317 N ROSEDALE ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360328,RATRUBPR,SW-Rat Rubout - Proactive,3013  ELGIN AVE ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360082,RATRUBPR,SW-Rat Rubout - Proactive,2606  HUNTINGDON AVE ,BALTIMORE CITY,MD,21211,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/15/2013
13-00359791,RATRUBPR,SW-Rat Rubout - Proactive,3014  ELIZABETH AVE ,BALTIMORE CITY,MD,21230,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360413,RATRUBPR,SW-Rat Rubout - Proactive,3112  WINDSOR AVE ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360392,RATRUBPR,SW-Rat Rubout - Proactive,2319 N ROSEDALE ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360326,RATRUBPR,SW-Rat Rubout - Proactive,3012  ELGIN AVE ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
13-00360324,RATRUBPR,SW-Rat Rubout - Proactive,2322 N LONGWOOD ST ,BALTIMORE CITY,MD,21216,05/15/2013 07:00:00 AM +0000,05/20/2013,05/15/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/15/2013
